code,display_zh,category,specimen,result_type,ucum_unit,loinc_version,status,source_note
20570-8,红细胞压积（计算）,hematology,blood,quantity,L/L,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
2339-0,血糖,chemistry,blood,quantity,mg/dL,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
32207-3,血小板分布宽度,hematology,blood,quantity,fL,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
32623-1,平均血小板体积,hematology,blood,quantity,fL,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
4548-4,糖化血红蛋白,chemistry,blood,quantity,%,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
58410-2,血常规组合,hematology,blood,panel,,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
6690-2,白细胞计数,hematology,blood,quantity,10*9/L,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
718-7,血红蛋白,hematology,blood,quantity,g/L,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
777-3,血小板计数,hematology,blood,quantity,10*9/L,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
785-6,平均红细胞血红蛋白量,hematology,blood,quantity,pg,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
786-4,平均红细胞血红蛋白浓度,hematology,blood,quantity,g/L,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
787-2,平均红细胞体积,hematology,blood,quantity,fL,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
788-0,红细胞分布宽度,hematology,blood,quantity,%,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
789-8,红细胞计数,hematology,blood,quantity,10*12/L,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
8310-5,体温,vital-sign,body,quantity,Cel,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
8462-4,舒张压,vital-sign,body,quantity,mm[Hg],2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
8480-6,收缩压,vital-sign,body,quantity,mm[Hg],2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
85354-9,血压组合,vital-sign,body,panel,,2.83,active,CN Health Data 项目自有中文显示与精选交叉引用
