panel_code,panel_name,specimen,evidence_source_row,notes,test_code,sort_order
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100101A,1
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100201A,2
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100301A,3
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100401A,4
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100501A,5
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100601A,6
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100701A,7
CN-LAB-CBC-5DIFF,血常规（五分类）,全血,6,WS/T 886 未提供五类白细胞分类的独立原子代码；首版展开标准内可用的核心血细胞指标,0100801A,8
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1100104A,1
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1100204A,2
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1500104A,3
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1500204A,4
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1500404A,5
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1500904A,6
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1700504A,7
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1700604A,8
CN-LAB-LIVER,肝功能,血清、血浆,361,项目维护的常用成人肝功能组合,1500704A,9
CN-LAB-RENAL,肾功能,血清、血浆,281,项目维护的常用成人肾功能组合,1700204A,1
CN-LAB-RENAL,肾功能,血清、血浆,281,项目维护的常用成人肾功能组合,1700304A,2
CN-LAB-RENAL,肾功能,血清、血浆,281,项目维护的常用成人肾功能组合,1700404A,3
CN-LAB-RENAL,肾功能,血清、血浆,281,项目维护的常用成人肾功能组合,1101204A,4
CN-LAB-ELECTROLYTES,电解质,全血、血清、血浆,226,项目维护的常用成人电解质组合,1400605A,1
CN-LAB-ELECTROLYTES,电解质,全血、血清、血浆,226,项目维护的常用成人电解质组合,1400205A,2
CN-LAB-ELECTROLYTES,电解质,全血、血清、血浆,226,项目维护的常用成人电解质组合,1400505A,3
CN-LAB-ELECTROLYTES,电解质,全血、血清、血浆,226,项目维护的常用成人电解质组合,1400705A,4
CN-LAB-ELECTROLYTES,电解质,全血、血清、血浆,226,项目维护的常用成人电解质组合,1400305A,5
CN-LAB-ELECTROLYTES,电解质,全血、血清、血浆,226,项目维护的常用成人电解质组合,1400404A,6
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1100104A,1
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1100204A,2
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1500104A,3
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1500204A,4
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1500404A,5
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1500904A,6
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1700504A,7
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1700604A,8
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1700204A,9
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1700304A,10
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1700404A,11
CN-LAB-LIVER-RENAL,肝肾功能,血清、血浆,361,项目维护的常用成人肝肾功能组合,1101204A,12
CN-LAB-LIPIDS,血脂,血清、血浆,286,项目维护的常用成人血脂组合,2000104A,1
CN-LAB-LIPIDS,血脂,血清、血浆,286,项目维护的常用成人血脂组合,2000204A,2
CN-LAB-LIPIDS,血脂,血清、血浆,286,项目维护的常用成人血脂组合,2000304A,3
CN-LAB-LIPIDS,血脂,血清、血浆,286,项目维护的常用成人血脂组合,2000404A,4
