,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,CNH-HOSPITAL-1301,石家庄市合成人民医院,合成路1号,石家庄市-1301,中国,050000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,37.995273684210524,114.82667368421052
1,CNH-HOSPITAL-1302,唐山市合成人民医院,合成路1号,唐山市-1302,中国,063000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,39.83180909090909,118.10159090909092
2,CNH-HOSPITAL-1303,秦皇岛市合成人民医院,合成路1号,秦皇岛市-1303,中国,066000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,39.9317,119.5883
3,CNH-HOSPITAL-1304,邯郸市合成人民医院,合成路1号,邯郸市-1304,中国,056000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,36.751740000000005,114.87992666666666
4,CNH-HOSPITAL-1305,邢台市合成人民医院,合成路1号,邢台市-1305,中国,051600,河北省,10000000000,合成人民医院,Synthetic,Yes,3,37.20625555555556,114.88378333333333
5,CNH-HOSPITAL-1306,保定市合成人民医院,合成路1号,保定市-1306,中国,071000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,38.86755,115.46488636363637
6,CNH-HOSPITAL-1307,张家口市合成人民医院,合成路1号,张家口市-1307,中国,075000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,39.58930625,114.8655125
7,CNH-HOSPITAL-1308,承德市合成人民医院,合成路1号,承德市-1308,中国,067000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,40.3767,117.75330909090908
8,CNH-HOSPITAL-1309,沧州市合成人民医院,合成路1号,沧州市-1309,中国,061000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,38.3658,116.77623846153845
9,CNH-HOSPITAL-1310,廊坊市合成人民医院,合成路1号,廊坊市-1310,中国,065000,河北省,10000000000,合成人民医院,Synthetic,Yes,3,39.5208,116.7147
10,CNH-HOSPITAL-1311,衡水市合成人民医院,合成路1号,衡水市-1311,中国,052600,河北省,10000000000,合成人民医院,Synthetic,Yes,3,37.84518181818182,115.76205454545453
11,CNH-HOSPITAL-1401,太原市合成人民医院,合成路1号,太原市-1401,中国,030000,山西省,10000000000,合成人民医院,Synthetic,Yes,3,37.8872,112.3471
12,CNH-HOSPITAL-1402,大同市合成人民医院,合成路1号,大同市-1402,中国,034400,山西省,10000000000,合成人民医院,Synthetic,Yes,3,39.329225,112.9620375
13,CNH-HOSPITAL-1403,阳泉市合成人民医院,合成路1号,阳泉市-1403,中国,045000,山西省,10000000000,合成人民医院,Synthetic,Yes,3,37.8575,113.56329999999998
14,CNH-HOSPITAL-1404,长治市合成人民医院,合成路1号,长治市-1404,中国,046000,山西省,10000000000,合成人民医院,Synthetic,Yes,3,36.2023375,113.1201875
15,CNH-HOSPITAL-1405,晋城市合成人民医院,合成路1号,晋城市-1405,中国,048000,山西省,10000000000,合成人民医院,Synthetic,Yes,3,35.647774999999996,112.875
16,CNH-HOSPITAL-1406,朔州市合成人民医院,合成路1号,朔州市-1406,中国,036000,山西省,10000000000,合成人民医院,Synthetic,Yes,3,38.606950000000005,112.39954999999999
17,CNH-HOSPITAL-1407,晋中市合成人民医院,合成路1号,晋中市-1407,中国,030600,山西省,10000000000,合成人民医院,Synthetic,Yes,3,37.420063636363636,112.23157272727272
18,CNH-HOSPITAL-1408,运城市合成人民医院,合成路1号,运城市-1408,中国,043100,山西省,10000000000,合成人民医院,Synthetic,Yes,3,35.2623,110.70810833333333
19,CNH-HOSPITAL-1409,忻州市合成人民医院,合成路1号,忻州市-1409,中国,034000,山西省,10000000000,合成人民医院,Synthetic,Yes,3,38.748735714285715,112.47497857142857
20,CNH-HOSPITAL-1410,临汾市合成人民医院,合成路1号,临汾市-1410,中国,031400,山西省,10000000000,合成人民医院,Synthetic,Yes,3,36.66688823529412,111.72461176470588
21,CNH-HOSPITAL-1411,吕梁市合成人民医院,合成路1号,吕梁市-1411,中国,030500,山西省,10000000000,合成人民医院,Synthetic,Yes,3,37.615707692307694,112.08211538461539
22,CNH-HOSPITAL-1501,呼和浩特市合成人民医院,合成路1号,呼和浩特市-1501,中国,010000,内蒙古自治区,10000000000,合成人民医院,Synthetic,Yes,3,41.69545,111.74435
23,CNH-HOSPITAL-1502,包头市合成人民医院,合成路1号,包头市-1502,中国,014000,内蒙古自治区,10000000000,合成人民医院,Synthetic,Yes,3,40.651599999999995,109.8439
24,CNH-HOSPITAL-1503,乌海市合成人民医院,合成路1号,乌海市-1503,中国,016000,内蒙古自治区,10000000000,合成人民医院,Synthetic,Yes,3,39.6844,106.8158
25,CNH-HOSPITAL-1504,赤峰市合成人民医院,合成路1号,赤峰市-1504,中国,024000,内蒙古自治区,10000000000,合成人民医院,Synthetic,Yes,3,44.81905,119.30345
